JP Object Name,Global Object Name,Internal Name,LOD1,LOD1 Hash,LOD2,LOD2 Hash,LOD3,LOD3 Hash,LOD4,LOD4 Hash,Collision,Common (Animation, if existant),Effect,Trait 1,Trait 2,Trait 3,Trait 4,Trait 5,Trait 6,Trait 7,Trait 8,Null Hashes indicate unfound files
ファイトリング,Boxing Ring,ob_1000_0916,object/map_object/ob_1000_0916_l1.ice,a7\53598c79d15030bfc0daf0428c3de6,object/map_object/ob_1000_0916_l2.ice,,object/map_object/ob_1000_0916_l3.ice,,object/map_object/ob_1000_0916_l4.ice,,object/map_object/ob_1000_0916_col.ice,fd\a4f2821ca49230a10ab7e61d6e7086,object/map_object/ob_1000_0916_com.ice,cd\8627b57063f118ee085667309b8623,object/map_object/ob_1000_0916_eff.ice,,[Furniture],[Fu_Stock],[0],[Access],[0],[Common_1],[0],[0]
スマートテレビ,Smart TV,ob_1000_0918,object/map_object/ob_1000_0918_l1.ice,e4\9fe189f2aef8038ab7a1468a706a0c,object/map_object/ob_1000_0918_l2.ice,,object/map_object/ob_1000_0918_l3.ice,,object/map_object/ob_1000_0918_l4.ice,,object/map_object/ob_1000_0918_col.ice,a2\9484cc6e6cf895f7285c6764b72283,object/map_object/ob_1000_0918_com.ice,f7\4f3108073709c1fe4aa5afe06f224c,object/map_object/ob_1000_0918_eff.ice,,[Furniture],[Fu_Stock],[0],[Access],[0],[Common_1],[0],[0]
ポストスタンド,Mailbox,ob_1000_0919,object/map_object/ob_1000_0919_l1.ice,1f\9dbacc449fee65f2ddb07373b654eb,object/map_object/ob_1000_0919_l2.ice,,object/map_object/ob_1000_0919_l3.ice,,object/map_object/ob_1000_0919_l4.ice,,object/map_object/ob_1000_0919_col.ice,9b\4739a800f8cda7a97e545ed46b3eba,object/map_object/ob_1000_0919_com.ice,09\f1440c0fefbe5f056f995df9587067,object/map_object/ob_1000_0919_eff.ice,,[Structure],[Fu_Stock],[0],[Access],[0],[Common_1],[0],[0]
フタ付きゴミ箱,Lidded Trash Can,ob_1000_0921,object/map_object/ob_1000_0921_l1.ice,8e\c66678e66b1cce3a7c68e69e39441d,object/map_object/ob_1000_0921_l2.ice,,object/map_object/ob_1000_0921_l3.ice,,object/map_object/ob_1000_0921_l4.ice,,object/map_object/ob_1000_0921_col.ice,93\a14bce22c46a490e15123e1e33e096,object/map_object/ob_1000_0921_com.ice,42\5b94e4a0ab55e4deef70407c2892fb,object/map_object/ob_1000_0921_eff.ice,,[Structure],[Fu_Stock],[0],[Access],[0],[Common_1],[0],[0]
二段ベッド,Bunk Bed,ob_1000_0922,object/map_object/ob_1000_0922_l1.ice,5a\7546bc477ff5b2e9abb073f3a4b823,object/map_object/ob_1000_0922_l2.ice,,object/map_object/ob_1000_0922_l3.ice,,object/map_object/ob_1000_0922_l4.ice,,object/map_object/ob_1000_0922_col.ice,43\55f9041d8fdedfe580ce63c8d52249,object/map_object/ob_1000_0922_com.ice,a0\7f65cafd6b3b02f7e7f4dd3606ddf0,object/map_object/ob_1000_0922_eff.ice,,[Furniture],[Fu_Stock],[SendLiedown],[0],[0],[Common_1],[0],[0]
コフィンベッド,Coffin Bed,ob_1000_0923,object/map_object/ob_1000_0923_l1.ice,f3\310cdeea598b2b32409cc36d082d18,object/map_object/ob_1000_0923_l2.ice,,object/map_object/ob_1000_0923_l3.ice,,object/map_object/ob_1000_0923_l4.ice,,object/map_object/ob_1000_0923_col.ice,1e\84f063b0eeca6a3f33be726c491c1e,object/map_object/ob_1000_0923_com.ice,9f\f9cd4810595ce2e7cc082dea7b34e4,object/map_object/ob_1000_0923_eff.ice,,[Furniture],[Fu_Stock],[SendLiedown],[0],[0],[Common_1],[0],[0]
警告標識,Warning Sign,ob_1000_0924,object/map_object/ob_1000_0924_l1.ice,61\29385bc27502d1bb4f78d9ca4460ac,object/map_object/ob_1000_0924_l2.ice,,object/map_object/ob_1000_0924_l3.ice,,object/map_object/ob_1000_0924_l4.ice,,object/map_object/ob_1000_0924_col.ice,f9\9067f97cd8459eb8a5e09604f6e288,object/map_object/ob_1000_0924_com.ice,be\78d9a54ef9c0ac40b5f1e66ef7b30a,object/map_object/ob_1000_0924_eff.ice,,[Structure],[Fu_Stock],[0],[Access],[0],[Common_1],[0],[0]
矢印板,Arrow Sign,ob_1000_0925,object/map_object/ob_1000_0925_l1.ice,a2\5e2121eff4192c43a40a204c52e06d,object/map_object/ob_1000_0925_l2.ice,,object/map_object/ob_1000_0925_l3.ice,,object/map_object/ob_1000_0925_l4.ice,,object/map_object/ob_1000_0925_col.ice,94\584cd841f15c162f92e5cca2ee3734,object/map_object/ob_1000_0925_com.ice,b3\ecfcf5862e29c64b9a0e43dbc50703,object/map_object/ob_1000_0925_eff.ice,,[Structure],[Fu_Stock],[0],[Access],[0],[Common_1],[0],[0]
カチカチダマ,Kachikachi-Dama,ob_1000_0926,object/map_object/ob_1000_0926_l1.ice,06\b05da962cbc41a1756f44e0e92c541,object/map_object/ob_1000_0926_l2.ice,,object/map_object/ob_1000_0926_l3.ice,,object/map_object/ob_1000_0926_l4.ice,,object/map_object/ob_1000_0926_col.ice,75\412bb3b9d32ecfe9320ae833e2db7d,object/map_object/ob_1000_0926_com.ice,44\38a254df517912d2cd09c6d9d97609,object/map_object/ob_1000_0926_eff.ice,,[Furniture],[Fu_Stock],[0],[Access],[0],[Common_1],[0],[0]
パイレーツキャノン,Pirate's Cannon,ob_1000_0931,object/map_object/ob_1000_0931_l1.ice,f3\0bb5d85c75fe43b5dbb866a042d35b,object/map_object/ob_1000_0931_l2.ice,,object/map_object/ob_1000_0931_l3.ice,,object/map_object/ob_1000_0931_l4.ice,,object/map_object/ob_1000_0931_col.ice,32\cf4ea2daa06ae9847b8367df0569f1,object/map_object/ob_1000_0931_com.ice,3f\141034a48803dc7ea1e14fdb2fd76d,object/map_object/ob_1000_0931_eff.ice,,[Structure],[Fu_Stock],[0],[Access],[0],[Common_1],[0],[0]
錆びたイカリ,Rusty Anchor,ob_1000_0932,object/map_object/ob_1000_0932_l1.ice,91\7f927c30233cd393fc7990759c1fe0,object/map_object/ob_1000_0932_l2.ice,,object/map_object/ob_1000_0932_l3.ice,,object/map_object/ob_1000_0932_l4.ice,,object/map_object/ob_1000_0932_col.ice,94\a39d3620f314a7b49d5ce1a42c99d7,object/map_object/ob_1000_0932_com.ice,5e\3d84b17ff49dc94e46338c38f3b2c4,object/map_object/ob_1000_0932_eff.ice,,[Structure],[Fu_Stock],[0],[Access],[0],[Common_1],[0],[0]
海賊船の舵輪,Pirate Ship's Helm,ob_1000_0933,object/map_object/ob_1000_0933_l1.ice,dc\3b89104c526cec4a6f6a4e92e036f1,object/map_object/ob_1000_0933_l2.ice,,object/map_object/ob_1000_0933_l3.ice,,object/map_object/ob_1000_0933_l4.ice,,object/map_object/ob_1000_0933_col.ice,6b\1aadee011516de7fe88632a11b14f0,object/map_object/ob_1000_0933_com.ice,d0\89c98f87ed442743322919be005cf5,object/map_object/ob_1000_0933_eff.ice,,[Structure],[Fu_Stock],[0],[Access],[0],[Common_1],[0],[0]
カットスイカ,Watermelon Slices,ob_1000_0935,object/map_object/ob_1000_0935_l1.ice,e7\9d90eb8263f1af39a266c0794841c0,object/map_object/ob_1000_0935_l2.ice,,object/map_object/ob_1000_0935_l3.ice,,object/map_object/ob_1000_0935_l4.ice,,object/map_object/ob_1000_0935_col.ice,2d\534d074ec5c9c0e3c0dd9c7346fca4,object/map_object/ob_1000_0935_com.ice,36\53de7e4fc3c5090a1d22bf2ef92df7,object/map_object/ob_1000_0935_eff.ice,,[Furniture],[Fu_Stock],[0],[Access],[0],[Common_1],[0],[0]
メロンソーダ,Melon Soda,ob_1000_0936,object/map_object/ob_1000_0936_l1.ice,20\b42a0f20db713486a970d6813e8c00,object/map_object/ob_1000_0936_l2.ice,,object/map_object/ob_1000_0936_l3.ice,,object/map_object/ob_1000_0936_l4.ice,,object/map_object/ob_1000_0936_col.ice,34\c2e015abb27025f4e99f8c8a098966,object/map_object/ob_1000_0936_com.ice,f8\ff9bd0a2a0e35f821a20085719e7c4,object/map_object/ob_1000_0936_eff.ice,,[Furniture],[Fu_Stock],[0],[Access],[0],[Common_1],[0],[0]
トロピカル・ブルー,Blue Hawaiian,ob_1000_0937,object/map_object/ob_1000_0937_l1.ice,1d\6080c56631f42ac27dab22919d1218,object/map_object/ob_1000_0937_l2.ice,,object/map_object/ob_1000_0937_l3.ice,,object/map_object/ob_1000_0937_l4.ice,,object/map_object/ob_1000_0937_col.ice,72\56b48d28f3b03e051e5d9ec5aee359,object/map_object/ob_1000_0937_com.ice,c4\26f88d967135e395e547d4e2ce549c,object/map_object/ob_1000_0937_eff.ice,,[Furniture],[Fu_Stock],[0],[Access],[0],[Common_1],[0],[0]
ヤキソバ,Yakisoba,ob_1000_0938,object/map_object/ob_1000_0938_l1.ice,12\057f2dcd244ebc6180dc113860f2e9,object/map_object/ob_1000_0938_l2.ice,,object/map_object/ob_1000_0938_l3.ice,,object/map_object/ob_1000_0938_l4.ice,,object/map_object/ob_1000_0938_col.ice,26\7f288bd3bbc853137c60ab44f1227f,object/map_object/ob_1000_0938_com.ice,47\6ca459c1da7298704d2340d95bbcb6,object/map_object/ob_1000_0938_eff.ice,,[Furniture],[Fu_Stock],[0],[Access],[0],[Common_1],[0],[0]
チョコチップクッキー,Chocolate Chip Cookies,ob_1000_0941,object/map_object/ob_1000_0941_l1.ice,c7\77bc6f086278e6f1a3030530b91b15,object/map_object/ob_1000_0941_l2.ice,,object/map_object/ob_1000_0941_l3.ice,,object/map_object/ob_1000_0941_l4.ice,,object/map_object/ob_1000_0941_col.ice,38\b432faa7a10170a7d582100b046738,object/map_object/ob_1000_0941_com.ice,a3\3a4fd6619a957d1f04ded53d8f1883,object/map_object/ob_1000_0941_eff.ice,,[Furniture],[Fu_Stock],[0],[Access],[0],[Common_1],[0],[0]
ポップアップトースター,Pop-Up Toaster,ob_1000_0942,object/map_object/ob_1000_0942_l1.ice,72\bfde9a912f9ce16946677f045aa2f9,object/map_object/ob_1000_0942_l2.ice,,object/map_object/ob_1000_0942_l3.ice,,object/map_object/ob_1000_0942_l4.ice,,object/map_object/ob_1000_0942_col.ice,04\1d6b59d62c31bec67cdc62e9129333,object/map_object/ob_1000_0942_com.ice,6c\abf3d09be4018a4191f2971065b644,object/map_object/ob_1000_0942_eff.ice,,[Furniture],[Fu_Stock],[0],[Access],[0],[Common_1],[0],[0]
ユキダルマ,Snowman,ob_1000_0943,object/map_object/ob_1000_0943_l1.ice,a9\8f96e207a853be0385f44e21934181,object/map_object/ob_1000_0943_l2.ice,,object/map_object/ob_1000_0943_l3.ice,,object/map_object/ob_1000_0943_l4.ice,,object/map_object/ob_1000_0943_col.ice,0c\22ec719bb5291511491a3c2af20ccf,object/map_object/ob_1000_0943_com.ice,36\d4d8393dbbf1ce45438fc185bbd467,object/map_object/ob_1000_0943_eff.ice,,[Furniture],[Fu_Stock],[0],[Access],[0],[Common_1],[0],[0]
ピクニックシート,Picnic Blanket,ob_1000_0944,object/map_object/ob_1000_0944_l1.ice,09\2b0c0a1e34726c86bf25fb12a15b25,object/map_object/ob_1000_0944_l2.ice,,object/map_object/ob_1000_0944_l3.ice,,object/map_object/ob_1000_0944_l4.ice,,object/map_object/ob_1000_0944_col.ice,55\95a2d3109fbf9befe84ec3166f6384,object/map_object/ob_1000_0944_com.ice,e1\ff1aece639e0d7ed5de126f036745d,object/map_object/ob_1000_0944_eff.ice,,[Structure],[Fu_Stock],[0],[Access],[0],[Common_1],[0],[0]
五月人形,May Festival Doll,ob_1000_0945,object/map_object/ob_1000_0945_l1.ice,a8\18c6c81180d5f0267be0b363e636e0,object/map_object/ob_1000_0945_l2.ice,,object/map_object/ob_1000_0945_l3.ice,,object/map_object/ob_1000_0945_l4.ice,,object/map_object/ob_1000_0945_col.ice,86\184b98abc5cc3b28ef8bf1e5082937,object/map_object/ob_1000_0945_com.ice,49\914b87b90d9ef1b41885f39fbbcfff,object/map_object/ob_1000_0945_eff.ice,,[Furniture],[Fu_Stock],[0],[Access],[0],[Common_1],[0],[0]
ジューシーステーキ,Juicy Steak,ob_1000_0946,object/map_object/ob_1000_0946_l1.ice,9a\3d764bf8d96a4e4c91e60126d57f38,object/map_object/ob_1000_0946_l2.ice,,object/map_object/ob_1000_0946_l3.ice,,object/map_object/ob_1000_0946_l4.ice,,object/map_object/ob_1000_0946_col.ice,dd\e49ac78617a4249ee9798fff27ce9f,object/map_object/ob_1000_0946_com.ice,e0\9967f35f360db3504f02c8b1f232de,object/map_object/ob_1000_0946_eff.ice,,[Furniture],[Fu_Stock],[0],[Access],[0],[Common_1],[0],[0]
デスクトップPC,Desktop PC,ob_1000_0947,object/map_object/ob_1000_0947_l1.ice,c7\709c55c58e0c6c459ae476ff118794,object/map_object/ob_1000_0947_l2.ice,,object/map_object/ob_1000_0947_l3.ice,,object/map_object/ob_1000_0947_l4.ice,,object/map_object/ob_1000_0947_col.ice,d0\f74a4ae002025187c2a4b938433cfd,object/map_object/ob_1000_0947_com.ice,9b\5543087aa25aa7e8b134089ccf902c,object/map_object/ob_1000_0947_eff.ice,,[Furniture],[Fu_Stock],[0],[Access],[0],[Common_1],[0],[0]
ノートPC,Laptop,ob_1000_0948,object/map_object/ob_1000_0948_l1.ice,7a\f7f75dfaa6fe1109d0242491bc5c46,object/map_object/ob_1000_0948_l2.ice,,object/map_object/ob_1000_0948_l3.ice,,object/map_object/ob_1000_0948_l4.ice,,object/map_object/ob_1000_0948_col.ice,f6\1c83bda2e1e26dca2e992b79ab6b8d,object/map_object/ob_1000_0948_com.ice,c6\177b449b4b72d685a9899111990dc3,object/map_object/ob_1000_0948_eff.ice,,[Furniture],[Fu_Stock],[0],[Access],[0],[Common_1],[0],[0]
屋台,Vendor Stall,ob_1000_0949,object/map_object/ob_1000_0949_l1.ice,9b\8e7d7d8315d3df0915aa247cef76fa,object/map_object/ob_1000_0949_l2.ice,,object/map_object/ob_1000_0949_l3.ice,,object/map_object/ob_1000_0949_l4.ice,,object/map_object/ob_1000_0949_col.ice,b5\d61aba034a30dfc2f8f70c13b29120,object/map_object/ob_1000_0949_com.ice,2a\4fd8b2ab02c5ac33a8cf0f13942f91,object/map_object/ob_1000_0949_eff.ice,,[Structure],[Fu_Stock],[0],[Access],[0],[Common_1],[0],[0]
トンネルライト,Tunnel Light,ob_1000_0991,object/map_object/ob_1000_0991_l1.ice,15\26b7446a12298d22114ec7eea0823a,object/map_object/ob_1000_0991_l2.ice,,object/map_object/ob_1000_0991_l3.ice,,object/map_object/ob_1000_0991_l4.ice,,object/map_object/ob_1000_0991_col.ice,e1\c8060d8deea94af8e4ae83c97ae131,object/map_object/ob_1000_0991_com.ice,9e\0058aa310d1ebc82532fd6af621684,object/map_object/ob_1000_0991_eff.ice,25\fdaea02256244f5811f19f1e5e703b,[Structure],[Fu_Stock],[0],[Access],[0],[Common_1_Light_12],[Group_Light],[0]
メンテナンスハンガー,Maintenance Hangar,ob_1000_0992,object/map_object/ob_1000_0992_l1.ice,20\f08a2ef79f3d9ebfadaaf121877cc1,object/map_object/ob_1000_0992_l2.ice,,object/map_object/ob_1000_0992_l3.ice,,object/map_object/ob_1000_0992_l4.ice,,object/map_object/ob_1000_0992_col.ice,f7\02274725e623932de722aea15bc1d1,object/map_object/ob_1000_0992_com.ice,fb\1cc76eec0ff183ff7b7aa75a72c787,object/map_object/ob_1000_0992_eff.ice,,[Structure],[Fu_Stock],[0],[Access],[0],[Common_1],[0],[0]
クレーンアーム,Crane Arm,ob_1000_0993,object/map_object/ob_1000_0993_l1.ice,9c\1ef12081e61ad2c55bfc5035a051b8,object/map_object/ob_1000_0993_l2.ice,,object/map_object/ob_1000_0993_l3.ice,,object/map_object/ob_1000_0993_l4.ice,,object/map_object/ob_1000_0993_col.ice,43\1194b5c9590e3b9c9d429c8d620378,object/map_object/ob_1000_0993_com.ice,3e\384e5cd12f0cfd6eb2631f275d3ef8,object/map_object/ob_1000_0993_eff.ice,,[Structure],[Fu_Stock],[0],[Access],[0],[Common_1],[0],[0]
セラフィポスター,Seraphy Poster,ob_1000_1000,object/map_object/ob_1000_1000_l1.ice,7a\3ad392b3c610d96adfb3f0d4c0b5f8,object/map_object/ob_1000_1000_l2.ice,,object/map_object/ob_1000_1000_l3.ice,,object/map_object/ob_1000_1000_l4.ice,,object/map_object/ob_1000_1000_col.ice,e3\2959088625f33727032665498480bb,object/map_object/ob_1000_1000_com.ice,75\fa180d02b714b65eeab47c8eb583c0,object/map_object/ob_1000_1000_eff.ice,,[Collaboration],[None],[0],[Access],[0],[Common_1],[0],[0]
ジオラマベースタイル,Diorama Base Tile,ob_1000_1003,object/map_object/ob_1000_1003_l1.ice,05\e8b2bccd9742b7adfa85f391ad8b7b,object/map_object/ob_1000_1003_l2.ice,,object/map_object/ob_1000_1003_l3.ice,,object/map_object/ob_1000_1003_l4.ice,,object/map_object/ob_1000_1003_col.ice,d8\ab6be60cdf6ab6c5e7ee30879da9db,object/map_object/ob_1000_1003_com.ice,e9\c4e8afc5358f9c4f4df5e6ad785a44,object/map_object/ob_1000_1003_eff.ice,,[Materials],[Fu_Stock],[0],[Access],[0],[Common_1],[0],[0]
ビクトリースタンド,Victory Stand,ob_1000_1008,object/map_object/ob_1000_1008_l1.ice,db\47b4a69649182aace4d5d71001e5f2,object/map_object/ob_1000_1008_l2.ice,,object/map_object/ob_1000_1008_l3.ice,,object/map_object/ob_1000_1008_l4.ice,,object/map_object/ob_1000_1008_col.ice,7d\1822f88ae4cbbf6edfaeca5bf7e9d8,object/map_object/ob_1000_1008_com.ice,de\a8463ac02510ad79b7b0ae3a38ad17,object/map_object/ob_1000_1008_eff.ice,,[Structure],[Fu_Stock],[0],[Access],[0],[Common_1],[0],[0]
ディストーションツリー,Distorted Tree,ob_1000_1009,object/map_object/ob_1000_1009_l1.ice,57\e2637edd0a1709402c3388f0238e74,object/map_object/ob_1000_1009_l2.ice,,object/map_object/ob_1000_1009_l3.ice,,object/map_object/ob_1000_1009_l4.ice,,object/map_object/ob_1000_1009_col.ice,10\1fb73df94fc0d118ada8b70001a155,object/map_object/ob_1000_1009_com.ice,16\7e56c78872ff9c67690cc5f2bbda3c,object/map_object/ob_1000_1009_eff.ice,,[Nature],[Fu_Stock],[0],[Access],[0],[Common_1],[0],[0]
ブルー撮影ブース,Photo Booth - Blue,ob_1000_1032,object/map_object/ob_1000_1032_l1.ice,9c\e5ec87921cbceb58cf83d669302cdf,object/map_object/ob_1000_1032_l2.ice,,object/map_object/ob_1000_1032_l3.ice,,object/map_object/ob_1000_1032_l4.ice,,object/map_object/ob_1000_1032_col.ice,6d\0be36d077e99d98a560835e8cfbc03,object/map_object/ob_1000_1032_com.ice,94\a6ed22a81f57431083445798407749,object/map_object/ob_1000_1032_eff.ice,,[Furniture],[Fu_Stock],[0],[Access],[0],[Common_1],[0],[0]
グリーン撮影ブース,Photo Booth - Green,ob_1000_1033,object/map_object/ob_1000_1033_l1.ice,4a\d96d8d53f22b15acee165dd656af0b,object/map_object/ob_1000_1033_l2.ice,,object/map_object/ob_1000_1033_l3.ice,,object/map_object/ob_1000_1033_l4.ice,,object/map_object/ob_1000_1033_col.ice,06\37e5b4021cbd879095cfbeba5d12ba,object/map_object/ob_1000_1033_com.ice,ff\cfb499fddb21bf61ef60c67b1f69bb,object/map_object/ob_1000_1033_eff.ice,,[Furniture],[Fu_Stock],[0],[Access],[0],[Common_1],[0],[0]
黄金色の彫像,Golden Idol,ob_1000_1040,object/map_object/ob_1000_1040_l1.ice,cb\bf24fa51896328f1a4bf7b57bed437,object/map_object/ob_1000_1040_l2.ice,,object/map_object/ob_1000_1040_l3.ice,,object/map_object/ob_1000_1040_l4.ice,,object/map_object/ob_1000_1040_col.ice,94\188633b69b72c7d1467471b40c0fb5,object/map_object/ob_1000_1040_com.ice,5d\c3173bb0c611c0ca79d4ad374e261a,object/map_object/ob_1000_1040_eff.ice,,[Furniture],[Fu_Stock],[0],[Access],[0],[Common_1],[0],[0]
朱色の巨大門,Great Vermilion Gate,ob_1000_1041,object/map_object/ob_1000_1041_l1.ice,3d\5ce11b2e02571de7fbb65c9ec7a808,object/map_object/ob_1000_1041_l2.ice,,object/map_object/ob_1000_1041_l3.ice,,object/map_object/ob_1000_1041_l4.ice,,object/map_object/ob_1000_1041_col.ice,36\a664f631fd4e289fb2bf35bb45a815,object/map_object/ob_1000_1041_com.ice,dc\490684116da4dd671e59bf0097b33b,object/map_object/ob_1000_1041_eff.ice,,[Furniture],[Fu_Stock],[0],[Access],[0],[Common_1],[0],[0]
四灯天吊灯,Four Hanging Lanterns,ob_1000_1042,object/map_object/ob_1000_1042_l1.ice,b2\d706c5cce14a5c547be4e2ce5696fc,object/map_object/ob_1000_1042_l2.ice,,object/map_object/ob_1000_1042_l3.ice,,object/map_object/ob_1000_1042_l4.ice,,object/map_object/ob_1000_1042_col.ice,c4\73cb70048b8f0089f24fc787cc36fd,object/map_object/ob_1000_1042_com.ice,6c\5f4d029a9d6e27d4712d988eddefdb,object/map_object/ob_1000_1042_eff.ice,e3\c22c22fbf576704636aa5ee3fbe3c8,[Furniture],[Fu_Stock],[0],[Access],[0],[Common_1_Light_12],[Group_Light],[0]
『PSO2』設定資料集表紙ポスター,PSO2 Design DoBP - Poster,ob_1000_1043,object/map_object/ob_1000_1043_l1.ice,48\b65c6a4a77db4d92e86d98cffc1be8,object/map_object/ob_1000_1043_l2.ice,,object/map_object/ob_1000_1043_l3.ice,,object/map_object/ob_1000_1043_l4.ice,,object/map_object/ob_1000_1043_col.ice,ea\858e9291ef1c56c0938d3b420f96dd,object/map_object/ob_1000_1043_com.ice,89\a923663d4a14e00e2f0980c08d9d9f,object/map_object/ob_1000_1043_eff.ice,,[Furniture],[Fu_Stock],[0],[Access],[0],[Common_1],[0],[0]
マトイポスター,Matoi Poster,ob_1000_1050,object/map_object/ob_1000_1050_l1.ice,a5\faf612d4959b1f348825b4a4bbd370,object/map_object/ob_1000_1050_l2.ice,,object/map_object/ob_1000_1050_l3.ice,,object/map_object/ob_1000_1050_l4.ice,,object/map_object/ob_1000_1050_col.ice,d2\70349be57f035bef8b9fe915e7ec89,object/map_object/ob_1000_1050_com.ice,50\332446d4b548603d3565eade68cd54,object/map_object/ob_1000_1050_eff.ice,,[Furniture],[Fu_Stock],[0],[Access],[0],[Common_1],[0],[0]
マトイ（イデア）ポスター,Matoi (Idea) Poster,ob_1000_1057,object/map_object/ob_1000_1057_l1.ice,cd\5b40bfe99760846d666374376b3822,object/map_object/ob_1000_1057_l2.ice,,object/map_object/ob_1000_1057_l3.ice,,object/map_object/ob_1000_1057_l4.ice,,object/map_object/ob_1000_1057_col.ice,73\395f07103ba334d79b4f8eefa514c6,object/map_object/ob_1000_1057_com.ice,b5\09caddc3d996352e531a56a5433709,object/map_object/ob_1000_1057_eff.ice,,[Furniture],[Fu_Stock],[0],[Access],[0],[Common_1],[0],[0]
ミニミニエスカタワー,Miniature Esca Tower,ob_1000_1097,object/map_object/ob_1000_1097_l1.ice,53\e71c6421761a2758f3e09192223e6d,object/map_object/ob_1000_1097_l2.ice,,object/map_object/ob_1000_1097_l3.ice,,object/map_object/ob_1000_1097_l4.ice,,object/map_object/ob_1000_1097_col.ice,23\0f2d7b564c6dafaddb04aca7e76446,object/map_object/ob_1000_1097_com.ice,04\a2f94a4495f020f28ccd7657ab264e,object/map_object/ob_1000_1097_eff.ice,,[Structure],[Fu_Stock],[0],[Access],[0],[Common_1],[0],[0]
電話ボックス,Phone Booth,ob_1000_1098,object/map_object/ob_1000_1098_l1.ice,2f\cb4bbd0a2ad4760de71f332b148225,object/map_object/ob_1000_1098_l2.ice,,object/map_object/ob_1000_1098_l3.ice,,object/map_object/ob_1000_1098_l4.ice,,object/map_object/ob_1000_1098_col.ice,d5\e6d29a0eed11246b195e5744ba1467,object/map_object/ob_1000_1098_com.ice,6f\65984a149153cb58e5410ae44812ca,object/map_object/ob_1000_1098_eff.ice,,[Structure],[Fu_Stock],[0],[Access],[0],[Common_1],[0],[0]
歩行者用信号機,Pedestrian's Street Light,ob_1000_1099,object/map_object/ob_1000_1099_l1.ice,e4\4b62064520ed0d14c3ed256b33d858,object/map_object/ob_1000_1099_l2.ice,,object/map_object/ob_1000_1099_l3.ice,,object/map_object/ob_1000_1099_l4.ice,,object/map_object/ob_1000_1099_col.ice,fc\059a1963599a0a4a244426f0dd6f22,object/map_object/ob_1000_1099_com.ice,56\2445bbe57c032029b108576f75bc26,object/map_object/ob_1000_1099_eff.ice,,[Structure],[Fu_Stock],[0],[Access],[0],[Common_1],[0],[0]
保健室のベッド,Nurse's Office Bed,ob_1000_1100,object/map_object/ob_1000_1100_l1.ice,2a\aee1af0dc99ff7272d757e2e14ad04,object/map_object/ob_1000_1100_l2.ice,,object/map_object/ob_1000_1100_l3.ice,,object/map_object/ob_1000_1100_l4.ice,,object/map_object/ob_1000_1100_col.ice,5e\5487544cff9135b5126eef69a17aca,object/map_object/ob_1000_1100_com.ice,da\fe6b7ae32409e619bc18ce983849f3,object/map_object/ob_1000_1100_eff.ice,,[Furniture],[Fu_Stock],[SendLiedown],[0],[0],[Common_1],[0],[0]
学校の机B,School Desk B,ob_1000_1101,object/map_object/ob_1000_1101_l1.ice,fc\ac276cbb2424303fa82201658869f4,object/map_object/ob_1000_1101_l2.ice,,object/map_object/ob_1000_1101_l3.ice,,object/map_object/ob_1000_1101_l4.ice,,object/map_object/ob_1000_1101_col.ice,0d\0118d0db396b85854715ffb032a952,object/map_object/ob_1000_1101_com.ice,0f\1d30dfde3a4a74ff1004a0efb02c5d,object/map_object/ob_1000_1101_eff.ice,,[Furniture],[Fu_Stock],[0],[Access],[0],[Common_1],[0],[0]
学校の椅子B,School Chair B,ob_1000_1102,object/map_object/ob_1000_1102_l1.ice,a6\f9cf0e01eef97218d0204fdc37dee1,object/map_object/ob_1000_1102_l2.ice,,object/map_object/ob_1000_1102_l3.ice,,object/map_object/ob_1000_1102_l4.ice,,object/map_object/ob_1000_1102_col.ice,1e\aedef1e5e73e549fe585416375ad61,object/map_object/ob_1000_1102_com.ice,4e\5e630b7980b9591590179412e1ad14,object/map_object/ob_1000_1102_eff.ice,,[Furniture],[Fu_Stock],[SendSit],[0],[0],[Common_1],[0],[0]
パイプ椅子,Steel Chair,ob_1000_1103,object/map_object/ob_1000_1103_l1.ice,73\6e7425a39df5e32661286e4ef5d929,object/map_object/ob_1000_1103_l2.ice,,object/map_object/ob_1000_1103_l3.ice,,object/map_object/ob_1000_1103_l4.ice,,object/map_object/ob_1000_1103_col.ice,04\784085ef1b45a03641ea9060593a0e,object/map_object/ob_1000_1103_com.ice,91\1d0a59104b2568807215d3d3a1b602,object/map_object/ob_1000_1103_eff.ice,,[Furniture],[Fu_Stock],[SendSit],[0],[0],[Common_1],[0],[0]
学校のロッカー,School Locker,ob_1000_1104,object/map_object/ob_1000_1104_l1.ice,3c\77f9f605d32e6bcf6adb272e4f36cf,object/map_object/ob_1000_1104_l2.ice,,object/map_object/ob_1000_1104_l3.ice,,object/map_object/ob_1000_1104_l4.ice,,object/map_object/ob_1000_1104_col.ice,5e\72208fb9aa069f8c8fcd348470472c,object/map_object/ob_1000_1104_com.ice,d8\71503a40dc3401e7a89eec30a3e58b,object/map_object/ob_1000_1104_eff.ice,,[Furniture],[Fu_Stock],[0],[Access],[0],[Common_1],[0],[0]
