Data is laid out as follows:
Object Name JP (if known),Object Name EN (if known),Object Function,Animation type,category 1,category 2,object unhashed name,object hashed name,object _ex textures hashed name
エキゾチックトラッドテーブルB,Exotic Trad Coffee Table B,custmize,motion_none,ground,ground,object/map_object/ob_1000_0356.ice,fbec925760bdf8595881cf5f64feb0ec,2b70810d7cc83c24b937c47f9c18b0d9
エキゾチックトラッドマットB,Exotic Trad Rug B,none,motion_none,ground,ground,object/map_object/ob_1000_0357.ice,e6b08a3aba4a3b09838c38ec03ff70dd,cd668b43c112efcd0b0d3c87e7b2a59b
エキゾチックトラッドシェルフB,Exotic Trad Shelf B,custmize,motion_none,wall,ground,object/map_object/ob_1000_0358.ice,c59c3f5969ce6e9d7ab81bedd57715b6,c73dc0bf1c49100fb0fc5bf42d96f3e5
,,motion,motion_sleeping,ground,ground,object/map_object/ob_1000_0359.ice,5271621e17df8c1f97269490575806d4,08641e6532a92fb6d1afa81e22fa7f1b
,,motion,motion_sitdown,ground,ground,object/map_object/ob_1000_0360.ice,3aabef32790fe914e889006e0adbf46b,1ac4bd562de26c506f739e4debf2203e
,,custmize,motion_none,ground,ground,object/map_object/ob_1000_0361.ice,e80e590930e08404975c915529706dac,84478c9899473b0ab0a5527a72a1a328
,,none,motion_none,ground,ground,object/map_object/ob_1000_0362.ice,5dee5b33957e7a42d668bba10ae4a04c,c55313ea4ef7b2dcbd979a6695f637cf
,,custmize,motion_none,wall,ground,object/map_object/ob_1000_0363.ice,c6a0ce65ab1f649e0075780891a826a0,a0284dff2c76c817a8a41b9a2745062f
エキゾチックトラッドライト,Exotic Trad Lamp,none,motion_none,ceiling,ground,object/map_object/ob_1000_0364.ice,2be4396b3b83069973b5a15b80bb92e1,002cc2461537904b452ea8937e8d82c6
ウェスタンベッド,Country Bed,motion,motion_sleeping,ground,ground,object/map_object/ob_1000_0365.ice,faa6ce17faa89755f8044c540dee1223,4cd96e518d38082d455bbe3db69ebcc7
ウェスタンソファ,Country Sofa,motion,motion_sitdown,ground,ground,object/map_object/ob_1000_0366.ice,a3fafd08ef2c7bddea42e30c730706f1,a175909533dee6fa6ebb0b89ada6fa8b
ウェスタンローテーブル,Country Coffee Table,custmize,motion_none,ground,ground,object/map_object/ob_1000_0367.ice,d85249ca7aaa604804c2e00c689155bf,c70fde057f8219ed095176d64c2d5cb1
ウェスタンラグマット,Country Rug,none,motion_none,ground,ground,object/map_object/ob_1000_0368.ice,f5f679bacabde734a1b41766b463a9f3,9559a5596c7332ae82c602566b67c9e5
ウェスタンシェルフ,Country Shelf,custmize,motion_none,wall,ground,object/map_object/ob_1000_0369.ice,ddc1f3f1d8069216b3d5e9045829a5d5,e95caeb67edad71c24b9c9053b5a333a
ウェスタンベッドB,Country Bed B,motion,motion_sleeping,ground,ground,object/map_object/ob_1000_0370.ice,f1802f50deaa99b15d5aa5914fe3a879,b90cbe5cf80f69cfb78e9d09d73bd2e8
ウェスタンソファB,Country Sofa B,motion,motion_sitdown,ground,ground,object/map_object/ob_1000_0371.ice,06c76265b06611a37ac2d0b3dadcc1c7,723330043282b3a77f7ad2628ef59416
ウェスタンローテーブルB,Country Coffee Table B,custmize,motion_none,ground,ground,object/map_object/ob_1000_0372.ice,d59301bd7bcf85c18c5b5c39e98ef426,bdae060ed98a4d9b8a540414c4f8352e
ウェスタンラグマットB,Country Rug B,none,motion_none,ground,ground,object/map_object/ob_1000_0373.ice,4d81d9cf6921581d04c9d6245f7c6a88,adec33f23e2377492e92ee31e6edc27c
ウェスタンシェルフB,Country Shelf B,custmize,motion_none,wall,ground,object/map_object/ob_1000_0374.ice,b62e0bf62bf68c0ee346ef9dcf4703e5,cb3adf11b09790a871d6cf5099f8508a
ウェスタンベッドC,Country Bed C,motion,motion_sleeping,ground,ground,object/map_object/ob_1000_0375.ice,a8fbf679d3e41742f4509d9201b27f06,4778b4f3cafc5dc8f38c3c5c4978e345
ウェスタンソファC,Country Sofa C,motion,motion_sitdown,ground,ground,object/map_object/ob_1000_0376.ice,4f273e85c9e34a2de63dd9862f578b38,c39790047b7c23758e7c4c39596ef46e
ウェスタンローテーブルC,Country Coffee Table C,custmize,motion_none,ground,ground,object/map_object/ob_1000_0377.ice,4f66bbd8ba62d561c47b39357bfc2406,60002d5a138526fc6d381977c73e13a7
ウェスタンラグマットC,Country Rug C,none,motion_none,ground,ground,object/map_object/ob_1000_0378.ice,2c4a8e448299942aa6bd10aa59b7e52f,50c23bcbfa232ade6912b4e1bbc30aaa
ウェスタンシェルフC,Country Shelf C,custmize,motion_none,wall,ground,object/map_object/ob_1000_0379.ice,9e73a600c3a49071a917d5f7b9319747,ce7621e359ccb15e8eaaf0cd56212b34
ウェスタンシャンデリア,Country Chandelier,none,motion_none,ceiling,ground,object/map_object/ob_1000_0380.ice,24706148d22cf1ae65daeeaa0313305b,4adeeaeff8a45d42ff585bdbf25586d0
フトンB,Futon B,motion,motion_sleeping,ground,ground,object/map_object/ob_1000_0381.ice,0e5c0ffc072df99e02483fa0c7658a60,3fa51d8b2ab36ec059006752ed0111f6
ワノローテーブルB,Japanese Coffee Table B,custmize,motion_none,ground,ground,object/map_object/ob_1000_0382.ice,0f637ae43a5c9bf9a69bef9b5946e9aa,b9365f6ef92db208bf3c1fd5d054e97c
ワノマットB,Japanese Rug B,none,motion_none,ground,ground,object/map_object/ob_1000_0383.ice,9bb7e1185eb35f965d60cfed301f4177,7850c513c0afcf14e6cc8f4bb9248942
タンスB,Rustic Shelf B,custmize,motion_none,wall,ground,object/map_object/ob_1000_0384.ice,5a6dc091df425f947887ede28f701dc6,76432444a422781139cf2c3b0788afd9
,,motion,motion_sleeping,ground,ground,object/map_object/ob_1000_0385.ice,63c541a98d778be8d0542be574282b93,5ca24e49a0bb6f2ae74b3a6bc38ed863
,,custmize,motion_none,ground,ground,object/map_object/ob_1000_0386.ice,d44a2baa189f80e52ec31b5e0a39e284,bb5681cce967730b5cf9cf4507850fec
,,none,motion_none,ground,ground,object/map_object/ob_1000_0387.ice,9268040e136fe323dcd2b0315d8cba34,89a0b8f30d5b9586d7cb4b3a94167879
,,custmize,motion_none,wall,ground,object/map_object/ob_1000_0388.ice,0ad9b8f77241e03a6297954415edd57d,af87fb6382fea6921bde6a4e4917c2b1
,,none,motion_none,ground,deco,object/map_object/ob_1000_0389.ice,900c91bc7c452c3b5c16670ced4508eb,c48a39f7e2e0e91ab22a38af525fee8f
,,none,motion_none,ground,deco,object/map_object/ob_1000_0390.ice,9a8075548ca0c5d06190ef7c090de214,c341525cb10bdd8a755d1f400f35bbee
,,none,motion_none,ground,deco,object/map_object/ob_1000_0391.ice,d487586fb841ff1e6812ee208fc8ad36,4d418376693ef331c16525f1705586b2
,,none,motion_none,ground,deco,object/map_object/ob_1000_0392.ice,d32c62f8716474050002a73844927346,1d215cc60337e09f2e289befe111ed04
,,none,motion_none,ground,deco,object/map_object/ob_1000_0393.ice,de508944da4da63e6300d33527907984,4b32e5c27fdd9869ffd5db3ddb6f4750
,,none,motion_none,ground,deco,object/map_object/ob_1000_0394.ice,79d0596b1d4b843d36eee7fb4cf9d150,5e0bf87859a8e03771dcac0e1cd1f2bf
,,none,motion_none,ground,deco,object/map_object/ob_1000_0395.ice,e3731e26a8306f5069eb1fa1535d6efc,a6d862e6a636c04f4554372e36528487
,,none,motion_none,ground,deco,object/map_object/ob_1000_0396.ice,1897919632ea8639330e430f5248568b,fa26a2a8d1233d730f9a326f6cdfa8ec
,,none,motion_none,ground,deco,object/map_object/ob_1000_0397.ice,243d92057657299caad795136e974e84,5e5d5c5862c289dc1a674a9ff5363ae7
,,none,motion_none,ground,deco,object/map_object/ob_1000_0398.ice,4f6e01adca37502e19f20cbafd3c0e80,e193045305a1349c2db72e2a2e471ed0
,,none,motion_none,ground,deco,object/map_object/ob_1000_0399.ice,5cdf7716957cd8bb508d545a6cda6d3a,8cd3371736cfc573e64a2a8bbc2bdb8e
,,none,motion_none,ground,deco,object/map_object/ob_1000_0400.ice,26ae36deb49afe625520995f02cdfe1d,fcd13c73dfb2c2dd1fc6affa84a718ae
,,none,motion_none,ground,deco,object/map_object/ob_1000_0401.ice,f10dd1e2fb1ee1f6f5c2d6a82495259a,f9f64492ed991e3942af6027a3f9d5c9
,,none,motion_none,ground,deco,object/map_object/ob_1000_0402.ice,ceaf8d78cd3edb06937913db9a7a87a4,85eb9039e4035dbd77dcc57964c2cee4
,,none,motion_none,ground,deco,object/map_object/ob_1000_0403.ice,5ba741aa0bef56236935f0a1e68c3835,15ef46d308ec4858846664368425e4aa
,,none,motion_none,ground,deco,object/map_object/ob_1000_0404.ice,3468c4b345c07e22bfa902b002d08a25,52be8067d2b2df1200eb84ac3f1da9d0
ダークフラワー,Dark Flower,none,motion_none,ground,deco,object/map_object/ob_1000_0405.ice,124f4aeff8939b7cfaf0423e5960353c,71275e1c1b019687fb232f6d8a45f6aa
ダークツリー,Dark Tree,none,motion_none,ground,ground,object/map_object/ob_1000_0406.ice,060cf518e10e12a7c121adb031356441,47c7e2fe4d8de764466fce3add6c63c6
ジェイドバス,Jade Bathtub,motion,motion_bathe,ground,ground,object/map_object/ob_1000_0407.ice,bd98be7d32cf5a9c8671d20cdaee5a4b,f42b5d7b059dec708f56893d63c61c3d
,,none,motion_none,ceiling,ground,object/map_object/ob_1000_0408.ice,1f52e893f69f3a680e449488194f79f5,f58e0e32028c5069e1e9578de4fa43d0
スケイルプラント,Scale Plant,none,motion_none,ground,ground,object/map_object/ob_1000_0409.ice,48851754bb48d21f7efefa6b7988c21c,9c925f7fe418f2567fb702da05f46367
,,none,motion_none,ground,deco,object/map_object/ob_1000_0410.ice,dd503c436265406b35100d72b911958c,00ac9751c66835bd9ee59c412b0b9e6e
,,none,motion_none,wall,poster,object/map_object/ob_1000_0411.ice,d6795c9eb17c302ebc07bba43f82903e
,,none,motion_none,wall,poster,object/map_object/ob_1000_0412.ice,e6933f757028afa0740216ae2503f120
,,none,motion_none,wall,poster,object/map_object/ob_1000_0413.ice,d712ae878c25dbb471b231d33318fa04
,,none,motion_none,wall,poster,object/map_object/ob_1000_0414.ice,4d02e2ad6b53f7175c07b0c224f15270
,,none,motion_none,wall,poster,object/map_object/ob_1000_0415.ice,eba6d59b6ae3acfe983d45071f28818a
,,mikiri,motion_none,ground,ground,object/map_object/ob_1000_0417.ice,7c298ead3c6b0b0fbce4d4cf34b80dea,4ebe895aa691b4fce58b7ace45a3866e
,,support_partner,motion_none,ground,ground,object/map_object/ob_1000_0418.ice,d2e9496e28094d497f84660aeeacfa32,3a890b242d0fb80cd27dd0a4f0306ff0
,,none,motion_none,wall,poster,object/map_object/ob_1000_0419.ice,8757f5ea695d21fdfc0772292d737eaf
,,none,motion_none,wall,poster,object/map_object/ob_1000_0420.ice,8d3b4f6ca4fa15ff4fb7e5821a93107a
,,none,motion_none,wall,poster,object/map_object/ob_1000_0421.ice,04e4fce0af5a2834a217a0d6375db25a
,,none,motion_none,ground,ground,object/map_object/ob_1000_0422.ice,dceec02a9285d33fd9f6fac53ba53252,c146e78722f2d0a8806b56758c73d690
,,motion,motion_sitdown,ground,ground,object/map_object/ob_1000_0423.ice,ff6be5e807ba253fdf8900bf60c67b46,458ec545363bed0851f289a67f54f5c4
,,motion,motion_sitdown,ground,ground,object/map_object/ob_1000_0424.ice,f4c1855065d81ca9ba718725f00a7aac,af78b3208684794c9c87077f9df54ada
,,motion,motion_sitdown,ground,ground,object/map_object/ob_1000_0425.ice,1d0dfd78e4e0421f986286097e2a7cdf,34a8e0d473b76094a809a697452066a5
,,motion,motion_sitdown,ground,ground,object/map_object/ob_1000_0426.ice,b6a8a6fe34d3be41d8a03ea1cab23c7a,faac38858e2ee4abb06381feade5b77a
,,motion,motion_sitdown,ground,ground,object/map_object/ob_1000_0427.ice,0d565d860e514110bd1f20e580abce95,c475827a689e4781721d866f76d73b8d
,,motion,motion_sitdown,ground,ground,object/map_object/ob_1000_0428.ice,49d19ddc4daf17a42aa27996690d76ab,157012499845f32fc93b980337c1b5f2
,,jukebox,motion_none,ground,ground,object/map_object/ob_1000_0429.ice,8cf01f3ee89e3d1c9d3d01abd1afe87a,de7383984c810eb8ef312c69faa81ed2
,,none,motion_none,ground,deco,object/map_object/ob_1000_0430.ice,ce2b6dac83c4e9f82bb69823391a6ac1,a86179b5e6a6900f0cea3b3098e1473a
,,none,motion_none,ground,deco,object/map_object/ob_1000_0431.ice,6f4894672f906fbeb3b16c387faf6d86,6bff960accb8df3cf90bec66ecb3232a
,,none,motion_none,ground,deco,object/map_object/ob_1000_0432.ice,aaf9c60694c7ccb85161293bb15bbd7c,d8c7a78d2469025d03d496f552e4a4d2
,,none,motion_none,ground,deco,object/map_object/ob_1000_0433.ice,0cbb1e738b6f693d5b1e116c77e3c4b1,689c93c981f04a234fc9f40506666bdd
,,none,motion_none,ground,deco,object/map_object/ob_1000_0434.ice,a254efddd58f26cbbc8126b3c69073ab,99c3660b4651203ba73742cda9a3acc9
,,none,motion_none,ground,deco,object/map_object/ob_1000_0435.ice,6ad97d2682bba25bcb25abe6b3b57664,97f81b9f89bc4abfd207ecfab255a22e
,,none,motion_none,ground,deco,object/map_object/ob_1000_0436.ice,e711a5422ac6c4f327964894e0e6c3d0,26f7d0d41ff8950a029744d70d3cc592
,,none,motion_none,ground,deco,object/map_object/ob_1000_0437.ice,838a7d1f0d4023d7be8580dc74d42fd1,e286b7973371521ad5fe5dc1ea7fcb55
,,none,motion_none,ground,deco,object/map_object/ob_1000_0438.ice,f6ae89a5f26404e79890c26f656c3e07,21a29de83d6f7da76128ae41179dbdd2
,,none,motion_none,wall,poster,object/map_object/ob_1000_0439.ice,ff0c74aac14dca318b0de5628c755265
,,none,motion_none,ground,deco,object/map_object/ob_1000_0440.ice,66ade7b679e619f93688534dbb7561ba
,,none,motion_none,ground,deco,object/map_object/ob_1000_0441.ice,2942dd0824f69b3abdf6b7ad65d06018
,,none,motion_none,ground,deco,object/map_object/ob_1000_0442.ice,88c4ec669b580908ae8f9d2dc24cb98f
,,none,motion_none,wall,poster,object/map_object/ob_1000_0443.ice,84d5fabeae36abc959104dfdd41b7184
,,dice,motion_none,ground,ground,object/map_object/ob_1000_0444.ice,03977fa6abef48b3477473a025d2fda2,6ff5cafa23c7c2a83daad1f966efd2bc
スペースシップチェア,Spaceship Chair,support_partner,motion_none,ground,ground,object/map_object/ob_1000_0445.ice,d9fa7b9fc95b80ab8fcbf50988ba1882,62d78d86ffbf9f7252907fd88b1f1b9d
スペースシップベッド,Spaceship Bed,support_partner,motion_none,ground,ground,object/map_object/ob_1000_0446.ice,4d74523b3cc172275669cf7016e69643,ae08a4d19738a336e870fd7ceb684982
スペースシップバスタブ,Spaceship Bathtub,support_partner,motion_none,ground,ground,object/map_object/ob_1000_0447.ice,e112c4c0e0da157ad20c72a6402ba5a3,3cd2d4b37cd23eae624e969e12b63784
丸提灯,Round Paper Lanterns,none,motion_none,ceiling,ground,object/map_object/ob_1000_0454.ice,beb825055203351e0d10e5efdc0a4bce,aa55c63ca2f8451cc2f91487a3dfd9ad
カミノカサ,Paper Umbrella,none,motion_none,wall,ground,object/map_object/ob_1000_0455.ice,75239f8d82665626282c91b717153619
ジャックモビール,Jack-o'-Lantern Mobile,none,motion_none,ceiling,ground,object/map_object/ob_1000_0456.ice,ddfc0f63f726dd2a1b854097d0def48d,58292b5f4bc3c8136267b45676656c5f
ホーンテッドアート,Haunted Artwork,none,motion_none,wall,ground,object/map_object/ob_1000_0457.ice,ea9859e224754020aee058f24de5612c,c714023859de53eae9bfdfa6de30087a
,,none,motion_none,ground,deco,object/map_object/ob_1000_0458.ice,3ea6dd80b8fbadded3c9e340c6d0da0f,55d7e6f05876c548890b4004e7a4bddb
シュトーレン,Stollen,none,motion_none,ground,deco,object/map_object/ob_1000_0459.ice,0afcc1079219734a299047d0477e644c,cac3b810e59549232d1a97f3d4c96f77
ホリデーツリー,Christmas Tree,none,motion_none,ground,ground,object/map_object/ob_1000_0460.ice,0ad4f03f46f98beb4d0d978debe566f6,8b496bafa9819714eb0eba06dc309847
イルミネーションボード,Christmas Light Display,none,motion_none,wall,ground,object/map_object/ob_1000_0461.ice,3ec9cb345b4beec206a098632eb56d2c,0dc153afe0a84cd895e38259640ff30b
ホリデーリース,Merry Wreath,none,motion_none,wall,ground,object/map_object/ob_1000_0462.ice,1740b0f441ccce6773030e0b84bb701c,b9b8fdeee2bf00e7d300b963ffd1f8b2
ホールケーキ,Strawberry Cake,none,motion_none,ground,deco,object/map_object/ob_1000_0463.ice,2077fb854e2d10d4894e984b1512a186,14a5ebdeb27524ef2a11d11d65c24c8b
いちごのショートケーキ,Strawberry Shortcake,none,motion_none,ground,deco,object/map_object/ob_1000_0464.ice,e8f939a9cbe148dc8234535a246df69d,958411d27cadbe217b5994e27fb8a9b0
チョコのショートケーキ,Chocolate Shortcake,none,motion_none,ground,deco,object/map_object/ob_1000_0465.ice,1c7c824e8f6c14f403c09f000cdeae31,f93acb584143853eb2c775ce8eb0acc1
ジャンボピザ,Jumbo Pizza,none,motion_none,ground,deco,object/map_object/ob_1000_0466.ice,5e94768e9d37b42f331e9129455262fb
アークスレトロボトル,ARKS Beer (Bottled),none,motion_none,ground,deco,object/map_object/ob_1000_0467.ice,83208e0b94cebcc6b8fd73394bc73427,e6aeaf2023ce860c200d1e0079f82cae
ハッポウドリンク,Pilsner,none,motion_none,ground,deco,object/map_object/ob_1000_0468.ice,f8dd3bb9d7247c6bb6852fd8fcab36fd,3115d760d1000ed545268722da8f3137
丸焼きチキン,Roasted Chicken,none,motion_none,ground,deco,object/map_object/ob_1000_0471.ice,8284d142585e6ac417a3e970f245eaca
囲炉裏,Sunken Fireplace,none,motion_none,ground,ground,object/map_object/ob_1000_0472.ice,4c13f1e71eda0717b760527a8e668894,b8662a6b5a6e521394c16987123dd8d1
一升瓶,Two Liter Bottle,none,motion_none,ground,deco,object/map_object/ob_1000_0473.ice,4668ccd191d3a54cdbae2e625c79aad3,445915e6093d0854d5a032fe4e64f65b
とっくり＆おちょこ,Japanese Carafe & Cup,none,motion_none,ground,deco,object/map_object/ob_1000_0474.ice,84a160350bea7db10162c15df4228594,1cc1613ca5630a489092c5635e2feb59
,,cashbox,motion_none,ground,ground,object/map_object/ob_1000_0475.ice,11d91e4131612ed64d894710f20b3471,5a62cba4c70cabe02e5d982073817940
,,camera,motion_none,ground,ground,object/map_object/ob_1000_0476.ice,3d61785bb85e0ddf3871622f2182799a,b98387b8b1c881a4c102540f49fd245c
,,none,motion_none,ground,ground,object/map_object/ob_1000_0477.ice,2384cf8468ca76c4b6ad8b2e5c9a847e,1884163a401f1f38614891706dc14cb1
,,room_runner,motion_none,ground,ground,object/map_object/ob_1000_0478.ice,bbc273060db7bfea1897179ab97b3912,06efefd86e3190ac4146703bf22e812d
,,none,motion_none,wall,poster,object/map_object/ob_1000_0479.ice,075ef970719feae97a53d36efd0cc60d
,,none,motion_none,wall,poster,object/map_object/ob_1000_0480.ice,e58c68174341fba93d0851292b9cd6c1
,,motion,motion_rice_cake_making,ground,ground,object/map_object/ob_1000_0481.ice,57a9093ffd156087692cb66c09003202,7c66232d093a83c19697a5b1f2053408
おせちセット,New Year's Food Set,none,motion_none,ground,deco,object/map_object/ob_1000_0482.ice,fb4c8866794d91e34a81c670c9ee83f1,2bb7dde26a759df0f4b1c353b93cf59b
カドマツ,New Year's Decoration,none,motion_none,ground,ground,object/map_object/ob_1000_0483.ice,8fd3601e9fdf809ceea2956dc6081deb,d76893a4a2fad46f9e4e3103c6f1bd89
,,myshop,motion_none,ground,ground,object/map_object/ob_1000_0484.ice,ecd1fba59be5bb19bd78812167a090bc
,,none,motion_none,ground,ground,object/map_object/ob_1000_0485.ice,ca61fdea41440404a2e4f5f7e2038b3f
,,none,motion_none,ground,deco,object/map_object/ob_1000_0486.ice,2f8464cb5420d6c2ef955f14a805004f
,,none,motion_none,ground,ground,object/map_object/ob_1000_0487.ice,85e4ae1623f1d2fb3d1a63cc309180b3
,,none,motion_none,wall,ground,object/map_object/ob_1000_0488.ice,19a04e769a5f03d4737c7b692c9b10c2
,,custmize,motion_none,ground,ground,object/map_object/ob_1000_0489.ice,78431731f58bdd4aa430e01c2677297b
シェルライト,Shell Light,none,motion_none,ground,ground,object/map_object/ob_1000_0490.ice,5ee2557a127c696d08e64eec456e17c4,6e6c444f352cdb1d35ba252395534067
ディープファウンテン,Deep Fountain,none,motion_none,ground,ground,object/map_object/ob_1000_0491.ice,5309564c1e5b0c8fc3d490f9d0822870,e079e027b74e347000a0b35b7fb90fd9
シーアネモネ,Sea Anemone,none,motion_none,ground,deco,object/map_object/ob_1000_0492.ice,63ca83a5de8e0862a6660cefaa0ef5bc,44d66a94b54ebc1c404fd94f31724e73
,,none,motion_none,ground,deco,object/map_object/ob_1000_0493.ice,dad19f9f2590efcabafc5355d5ab1e0f,deedf0ad33575d33262abaf3e0266496
,,none,motion_none,ground,ground,object/map_object/ob_1000_0494.ice,7f8eb5a84d77a6ea87024eb62f3fde40,0ad95cdb0243d5275263db30500a05fb
,,none,motion_none,ground,deco,object/map_object/ob_1000_0495.ice,3b094c8ce44738eb93cfadd2bad32853,c3b47132cc34baae3e8839f3fa1db452
,,support_partner,motion_none,ground,ground,object/map_object/ob_1000_0496.ice,0bdad8bb50631b36696b3a2ddc8d9eaf
,,support_partner,motion_none,ground,ground,object/map_object/ob_1000_0497.ice,b5574eebcafebef7677d1984b9428708
,,support_partner,motion_none,ground,ground,object/map_object/ob_1000_0498.ice,bc4023ec654931c671071231a0c8b8a6,621c01e2a43772d63240e16ffe093397
,,motion,motion_sitdown,ground,ground,object/map_object/ob_1000_0499.ice,4f10aa375c67ef050ec51686d25ffe03,dbf9e363077be1583da0604cb6ebe864
レトロフォン,Steampunk Phone,none,motion_none,ground,deco,object/map_object/ob_1000_0500.ice,d094e66725544a86f2a4ce36e32ff62b,5755bfb74e09512428460bbdcc1a7730
,,none,motion_none,ground,deco,object/map_object/ob_1000_0501.ice,806959e5738420c2b66bff829daa10ed,97017dcaad981142fce4b73494cb4152
ラッピーマトリョーシカ,Rappy Nesting Dolls,none,motion_none,ground,deco,object/map_object/ob_1000_0502.ice,083da22533700c8121e14152c19324db
レトロベッド,Steampunk Bed,motion,motion_sleeping,ground,ground,object/map_object/ob_1000_0503.ice,9163383b551759f286209bbe20ae01fd,0d46e18f8a1055a5bf3454e20b655a99
レトロテーブル,Steampunk Table,custmize,motion_none,ground,ground,object/map_object/ob_1000_0504.ice,1e9e8f9147a06766a976707b629b4e29,ee9ed8547cf0e7971f3106cf8e5bf2a1
レトロチェア,Steampunk Chair,motion,motion_sitdown,ground,ground,object/map_object/ob_1000_0505.ice,a46a5d21af0e25577a2b7ca5df36eba5,c0520e08b7a0086a92a929401e4ca646
レトロキャビネット,Steampunk Cabinet,custmize,motion_none,ground,ground,object/map_object/ob_1000_0506.ice,6ea63f8167833986c52904564f5b91f4,17b5f51962a674cf4a8601a07701fc19
レトロシャンデリア,Steampunk Chandelier,none,motion_none,ceiling,ground,object/map_object/ob_1000_0507.ice,d1c3f16a523a639e9cebcc08534c4005,f68113de64815c6ba903fdaf2bbd6089
レトロソファ,Steampunk Sofa,motion,motion_sitdown,ground,ground,object/map_object/ob_1000_0508.ice,7d51f3bd18c76f10d35098c7d9006f55,ba0d60f6b64b18d4708ce4310fd783b5
レトロテレビ,Steampunk TV,none,motion_none,ground,ground,object/map_object/ob_1000_0509.ice,c501a59fdade586b4464e1ff3f39840c,faf9bd64bcc90daa6d4754c7d0a013e1
レトロキッチン,Steampunk Kitchen,custmize,motion_none,wall,ground,object/map_object/ob_1000_0510.ice,660668a0e120c1377bf36ad9d8ee8038,20bcb0c175e99f0bcda43a159b606eda
レトロオブジェ,Steampunk Objet d'Art,none,motion_none,ground,ground,object/map_object/ob_1000_0511.ice,329a3b598ac66557fa409d9d2c045872,8255592a655677dea4a1d12a5c544313
レトロクロック,Steampunk Clock,none,motion_none,ground,ground,object/map_object/ob_1000_0512.ice,cb8179e00045879002f508572e15eb20,5182e148fbe9c5861c423a30ab63919b
レトロベッドB,Steampunk Bed B,motion,motion_sleeping,ground,ground,object/map_object/ob_1000_0513.ice,4fc3ddfd16b06610077669b6011aadf3,9c4b36b7b1defe5a10f19de8a5b28f9c
レトロテーブルB,Steampunk Table B,custmize,motion_none,ground,ground,object/map_object/ob_1000_0514.ice,2d078423610a32db46874e196cffabc9,e2581f486d0ba949ed82ca4e254558f7
レトロチェアB,Steampunk Chair B,motion,motion_sitdown,ground,ground,object/map_object/ob_1000_0515.ice,6f8a4b0b1e24cf5c4b17f1e1a3f20d93,818c75bfbf1490aa3b95886f7afa9523
レトロキャビネットB,Steampunk Cabinet B,custmize,motion_none,ground,ground,object/map_object/ob_1000_0516.ice,d3b9289501b3e5605d2eac624d9f9ec0,e43796181b91eb693be6854fce166835
レトロシャンデリアB,Steampunk Chandelier B,none,motion_none,ceiling,ground,object/map_object/ob_1000_0517.ice,c953de74ec8e708ce335281ac41ad1f9,f67aa2e1ffe50a42c244d88c78bf66ae
レトロソファB,Steampunk Sofa B,motion,motion_sitdown,ground,ground,object/map_object/ob_1000_0518.ice,e7f40cd36d8d38a97606c7ac3d6a90a2,ef78487b7cc525d05a646f1b096dff71
レトロテレビB,Steampunk TV B,none,motion_none,ground,ground,object/map_object/ob_1000_0519.ice,fb5ab7c79e8fd84ca62e433ab15e6a44,2c940ea1a0927f3178582f82bd379aba
レトロキッチンB,Steampunk Kitchen B,custmize,motion_none,wall,ground,object/map_object/ob_1000_0520.ice,ba34f406acb63354dd6472447bc9747c,4aa8b28ea466fdb32c2d0b399ec9cbe6
レトロオブジェB,Steampunk Objet d'Art B,none,motion_none,ground,ground,object/map_object/ob_1000_0521.ice,2afb1035fdbb8a58341d8d3abfe53897,17eea40ed2b187ee864430690ede4a56
,,none,motion_none,ground,ground,object/map_object/ob_1000_0522.ice,eb6d7f98219f14ecdaa8fcacdfdb1e3b,22c48f6a697d6037ac6a5b7d215ff99d
レトロベッドC,Steampunk Bed C,motion,motion_sleeping,ground,ground,object/map_object/ob_1000_0523.ice,4e5c847b545743a52e9966bff95d5126,41f21dcf6c79895f8e14ea2c8a5298a2
レトロテーブルC,Steampunk Table C,custmize,motion_none,ground,ground,object/map_object/ob_1000_0524.ice,97dff3479278e27b5778d37dbbc6b790,7c2104af934f9fec54b83563c2923d07
レトロチェアC,Steampunk Chair C,motion,motion_sitdown,ground,ground,object/map_object/ob_1000_0525.ice,119523041afca01933d7373a8988109c,850e9ab50dde12b851e339e84d90984d
レトロキャビネットC,Steampunk Cabinet C,custmize,motion_none,ground,ground,object/map_object/ob_1000_0526.ice,f87081846c8b092b384b33a48ef0a43b,dd1f7da0c6c614a3ff3588512f1c0e1a
レトロシャンデリアC,Steampunk Chandelier C,none,motion_none,ceiling,ground,object/map_object/ob_1000_0527.ice,2ecb18aede10bc9fa0dd07560927617f,0ceea379a7b85a71ce9e85818cdb5719
レトロソファC,Steampunk Sofa C,motion,motion_sitdown,ground,ground,object/map_object/ob_1000_0528.ice,b8476f2e28b37b3a7ccc79f8a0289f3a,a7158b7000e40ceb611b05a2b7b302eb
レトロテレビC,Steampunk TV C,none,motion_none,ground,ground,object/map_object/ob_1000_0529.ice,b89fd3129e6a4a83b27ddf9eb694d648,1e4e789572894845d86200a34c0908f7
レトロキッチンC,Steampunk Kitchen C,custmize,motion_none,wall,ground,object/map_object/ob_1000_0530.ice,3dcf811a03bc3e67579a078d3ec72f67,72c7168bf8411780f41d0b69ce5cd471
レトロオブジェC,Steampunk Objet d'Art C,none,motion_none,ground,ground,object/map_object/ob_1000_0531.ice,5a4421db415194499e8057a6c10dd489,fd3080a233b4c1161c51c773bf0651e7
